boralaemcasa = UCdcL3nma0HpYkWFH52YE06Q

93WsbBQxD5s,2019-06-18 20:37:03 UTC
BQqTQD8mZ0A,2019-06-18 20:37:03 UTC
Gh7B6RdH-Ck,2019-06-18 20:37:03 UTC
HLUD6-b5Vvk,2019-06-18 20:37:03 UTC
P1R0CPziF6w,2019-06-18 20:37:03 UTC
VaGNRK8M_V0,2019-06-18 20:37:03 UTC
bWpa3MHlRP0,2019-06-18 20:37:03 UTC
hlb2f_dirm8,2019-06-18 20:37:03 UTC
phO_PFslAow,2019-06-18 20:37:03 UTC
yixbS6qMq5w,2019-06-18 00:01:53 UTC
hH_FzwPMG2M,2019-06-18 00:01:40 UTC
Ayv2Soe2P3w,2019-06-17 23:23:10 UTC
cPWkKbwheJo,2019-06-17 22:59:41 UTC
mh6cPiol0kU,2019-06-17 22:41:45 UTC
sGQPOsiLyQg,2019-06-17 22:41:45 UTC
07amfkNQ1mI,2019-06-17 22:41:44 UTC
472RBgxNRKE,2019-06-17 22:41:44 UTC
8pbO1gS6Khc,2019-06-17 22:41:44 UTC
LHqFhttPjC8,2019-06-17 22:41:44 UTC
QXX40ABqqkA,2019-06-17 22:41:44 UTC
RIosu15pW2E,2019-06-17 22:41:44 UTC
_kaE1bR-pV4,2019-06-17 22:41:44 UTC
cDr7JBi4zd8,2019-06-17 22:41:44 UTC
fHffJVGJ2Mo,2019-06-17 22:41:44 UTC
lLsoWd6hLns,2019-06-17 22:41:44 UTC
pXKYMyqRQds,2019-06-17 22:41:44 UTC
vHq60yrSuAg,2019-06-17 22:41:44 UTC
ri133wXkBj8,2019-06-17 16:25:39 UTC
5Ij0wPPkt7I,2019-06-17 16:07:55 UTC
7-wPzeXfH_I,2019-06-17 16:07:55 UTC
Hr-wRn_pSiM,2019-06-17 16:07:55 UTC
NXpb3rscdmQ,2019-06-17 16:07:55 UTC
QE1CZg5NO4Y,2019-06-17 16:07:55 UTC
UEjbLzr28BA,2019-06-17 16:07:55 UTC
clD7Tg66ULc,2019-06-17 16:07:55 UTC
reX745_fOhw,2019-06-17 16:07:55 UTC
vY_DMGjeO1c,2019-06-17 16:07:55 UTC
1xFZo8I61r4,2019-06-16 18:43:57 UTC
6yiW8ytXgb4,2019-06-16 18:43:57 UTC
7zHdLZ94HvI,2019-06-16 18:43:57 UTC
8wJILJeD8sY,2019-06-16 18:43:57 UTC
9EmXw3qE4_Y,2019-06-16 18:43:57 UTC
AR7BWVsdtHU,2019-06-16 18:43:57 UTC
C-sGymzk39E,2019-06-16 18:43:57 UTC
CIaGQePVVQw,2019-06-16 18:43:57 UTC
FwHyiikrjR8,2019-06-16 18:43:57 UTC
HIwzjfGUJjk,2019-06-16 18:43:57 UTC
KEjccyqMRMk,2019-06-16 18:43:57 UTC
KTG0CW8YJd4,2019-06-16 18:43:57 UTC
M12dHDJru2E,2019-06-16 18:43:57 UTC
M1hDggVKFtA,2019-06-16 18:43:57 UTC
PLIuttXtBqg,2019-06-16 18:43:57 UTC
QLFboAJhrB4,2019-06-16 18:43:57 UTC
QOjfjoVh2pM,2019-06-16 18:43:57 UTC
Rw8QllhM1cA,2019-06-16 18:43:57 UTC
So6hoVy8qSU,2019-06-16 18:43:57 UTC
UjexsG2MFJA,2019-06-16 18:43:57 UTC
UsLO5gUtWiw,2019-06-16 18:43:57 UTC
YZL3h71J6UQ,2019-06-16 18:43:57 UTC
1xFZo8I61r4,2019-06-16 18:43:57 UTC
8wJILJeD8sY,2019-06-16 18:43:57 UTC
9EmXw3qE4_Y,2019-06-16 18:43:57 UTC
CIaGQePVVQw,2019-06-16 18:43:57 UTC
HIwzjfGUJjk,2019-06-16 18:43:57 UTC
YZL3h71J6UQ,2019-06-16 18:43:57 UTC
qtTiKL44z-U,2019-06-16 18:43:57 UTC
tyeLHQSEQOo,2019-06-16 18:43:57 UTC
zls7IiFtqPI,2019-06-16 18:43:57 UTC
8Y96tq6_gGw,2019-06-16 14:53:32 UTC
H5jFpw1-CsU,2019-06-16 14:51:11 UTC
SN50mnCgvFg,2019-06-16 14:49:13 UTC
feBa1GAKLgc,2019-06-16 14:46:45 UTC
pc19OOW9kuQ,2019-06-16 14:44:25 UTC
H0aeDHxYnGs,2019-06-16 14:42:12 UTC
Yrk6qZ34Mtw,2019-06-16 14:36:42 UTC
Vh0yCPvcdrI,2019-06-16 14:33:25 UTC
s4Xexej67k0,2019-06-16 14:29:30 UTC
rzPxK56GCu8,2019-05-29 13:50:29 UTC
wio-6zjSsV4,2019-05-23 18:40:29 UTC
Z3IXeWvEEa4,2019-05-21 01:14:26 UTC
tkgjHRfidw8,2019-05-13 12:49:51 UTC
Anyjzpp9uwI,2019-04-27 23:28:35 UTC
I-WQmzbslQc,2019-04-26 17:42:53 UTC
JVKMdyvGbUQ,2019-04-26 15:52:41 UTC
jH4QAWhqkDE,2019-03-31 07:34:04 UTC
E4aBYhwbRHg,2019-03-31 07:33:49 UTC
HuHuZYgcLOI,2019-03-31 04:16:28 UTC
OUaltUyhTSM,2019-02-14 10:26:50 UTC
kNnNXxNR3SE,2019-01-27 04:43:31 UTC
_h26uIKyqco,2019-01-25 03:52:16 UTC
Dd4eHdms4ZU,2019-01-20 22:27:31 UTC
154zJRr2kwo,2019-01-19 18:58:19 UTC
zhrVnGItKOE,2019-01-19 08:12:05 UTC
yyqd22qMJE4,2019-01-16 08:33:43 UTC
wyQJ_9UaOzE,2019-01-14 15:06:26 UTC
mmzqmIcX7xo,2019-01-14 09:38:20 UTC
2Zmk61NvaoU,2019-01-13 15:15:21 UTC
xlabDMqVODI,2019-01-13 11:55:59 UTC
07oqRHg1oD8,2019-01-13 08:55:38 UTC
TXpUrw3vr24,2019-01-13 08:54:26 UTC
9Eck5B8b4GY,2019-01-12 05:00:21 UTC
ndlB2HIYZ7o,2019-01-11 05:31:49 UTC
0dgNbhgUZ9w,2019-01-10 10:24:52 UTC
h7HI_yRvung,2019-01-08 21:26:57 UTC
f4RlOhc1cXA,2019-01-07 21:42:56 UTC
gyxnDmc1U_c,2019-01-07 11:31:21 UTC
Mz9mvLLgcDU,2017-10-19 12:51:11 UTC
gIKVXwuLuAg,2016-05-13 13:40:39 UTC
ZkZQaSqqqq0,2015-08-16 00:59:16 UTC
mScoQhy0Owg,2014-04-19 22:44:58 UTC

vinicius0025 = UCeOip3NW3VVbfb_oCeG0AEg

ID do vídeo,Horário da adição
vazio,vazio
